ore,layer,centre_x,min_y,centre_z,tp,dist_from_spawn,west_x,east_x,north_z,south_z,size_x,size_z,dimension,route_stable
redstone,ore.mix.redstone,406,8,-178,/tp 406 8 -178,434,387,426,-199,-156,39,43,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-412,5,66,/tp -412 5 66,434,-429,-395,52,81,34,29,-1,yes
iron,ore.mix.iron,-165,20,412,/tp -165 20 412,435,-189,-141,400,425,48,25,-1,yes
beryllium,ore.mix.beryllium,405,9,219,/tp 405 9 219,435,394,417,206,232,23,26,-1,yes
manganese,ore.mix.manganese,73,23,451,/tp 73 23 451,436,64,83,435,467,19,32,-1,yes
sulfur,ore.mix.sulfur,19,14,454,/tp 19 14 454,436,6,32,431,478,26,47,-1,yes
tetrahedrite,ore.mix.tetrahedrite,63,92,-416,/tp 63 92 -416,436,41,85,-432,-400,44,32,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-416,108,-27,/tp -416 108 -27,437,-434,-398,-39,-14,36,25,-1,yes
redstone,ore.mix.redstone,-408,23,116,/tp -408 23 116,438,-424,-391,102,130,33,28,-1,yes
copper,ore.mix.copper,458,30,33,/tp 458 30 33,439,439,477,15,51,38,36,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-26,20,456,/tp -26 20 456,440,-41,-11,448,465,30,17,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,214,39,412,/tp 214 39 412,440,195,233,398,427,38,29,-1,yes
tetrahedrite,ore.mix.tetrahedrite,359,113,-261,/tp 359 113 -261,440,331,388,-285,-237,57,48,-1,yes
sulfur,ore.mix.sulfur,-268,9,353,/tp -268 9 353,441,-289,-246,330,376,43,46,-1,yes
redstone,ore.mix.redstone,-414,14,-68,/tp -414 14 -68,441,-432,-396,-88,-48,36,40,-1,yes
sulfur,ore.mix.sulfur,458,12,-19,/tp 458 12 -19,441,435,481,-39,1,46,40,-1,yes
quartz,ore.mix.quartz,-311,109,310,/tp -311 109 310,441,-326,-295,295,325,31,30,-1,yes
iron,ore.mix.iron,118,32,-412,/tp 118 32 -412,441,97,139,-439,-384,42,55,-1,yes
iron,ore.mix.iron,-214,13,-359,/tp -214 13 -359,443,-225,-203,-370,-348,22,22,-1,yes
redstone,ore.mix.redstone,317,33,-310,/tp 317 33 -310,443,304,331,-336,-284,27,52,-1,yes
iron,ore.mix.iron,310,20,356,/tp 310 20 356,446,291,330,338,374,39,36,-1,yes
netherquartz,ore.mix.netherquartz,455,74,114,/tp 455 74 114,446,443,467,90,139,24,49,-1,yes
manganese,ore.mix.manganese,-115,23,-409,/tp -115 23 -409,448,-132,-97,-431,-387,35,44,-1,yes
redstone,ore.mix.redstone,-409,14,-116,/tp -409 14 -116,448,-423,-395,-131,-100,28,31,-1,yes
sulfur,ore.mix.sulfur,460,12,-68,/tp 460 12 -68,449,446,474,-80,-55,28,25,-1,yes
beryllium,ore.mix.beryllium,-366,16,-217,/tp -366 16 -217,451,-380,-351,-231,-203,29,28,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,119,12,458,/tp 119 12 458,451,103,135,448,468,32,20,-1,yes
quartz,ore.mix.quartz,360,110,316,/tp 360 110 316,453,340,380,300,333,40,33,-1,yes
iron,ore.mix.iron,266,13,-362,/tp 266 13 -362,453,241,292,-388,-335,51,53,-1,yes
sulfur,ore.mix.sulfur,406,10,253,/tp 406 10 253,453,393,419,234,272,26,38,-1,yes
iron,ore.mix.iron,-407,30,174,/tp -407 30 174,454,-428,-385,150,199,43,49,-1,yes
iron,ore.mix.iron,-73,13,466,/tp -73 13 466,457,-99,-46,446,487,53,41,-1,yes
sulfur,ore.mix.sulfur,-359,5,274,/tp -359 5 274,457,-375,-343,254,295,32,41,-1,yes
iron,ore.mix.iron,412,33,-222,/tp 412 33 -222,460,395,429,-237,-207,34,30,-1,yes
iron,ore.mix.iron,170,27,-417,/tp 170 27 -417,460,151,190,-439,-394,39,45,-1,yes
redstone,ore.mix.redstone,-405,5,-164,/tp -405 5 -164,461,-418,-392,-177,-151,26,26,-1,yes
redstone,ore.mix.redstone,-218,18,414,/tp -218 18 414,462,-228,-207,391,438,21,47,-1,yes
redstone,ore.mix.redstone,461,9,-118,/tp 461 9 -118,462,439,484,-140,-95,45,45,-1,yes
copper,ore.mix.copper,-307,18,-313,/tp -307 18 -313,465,-323,-290,-329,-297,33,32,-1,yes
iron,ore.mix.iron,275,11,407,/tp 275 11 407,466,256,295,395,419,39,24,-1,yes
netherquartz,ore.mix.netherquartz,163,40,463,/tp 163 40 463,468,146,181,447,480,35,33,-1,yes
iron,ore.mix.iron,-123,30,464,/tp -123 30 464,468,-142,-104,447,482,38,35,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-265,97,-356,/tp -265 97 -356,470,-286,-244,-380,-332,42,48,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-157,109,-418,/tp -157 109 -418,470,-177,-137,-439,-396,40,43,-1,yes
copper,ore.mix.copper,452,14,-169,/tp 452 14 -169,472,426,479,-191,-146,53,45,-1,yes
netherquartz,ore.mix.netherquartz,310,40,-353,/tp 310 40 -353,472,287,334,-372,-334,47,38,-1,yes
netherquartz,ore.mix.netherquartz,450,60,211,/tp 450 60 211,472,428,473,186,237,45,51,-1,yes
beryllium,ore.mix.beryllium,-454,16,26,/tp -454 16 26,473,-466,-441,9,43,25,34,-1,yes
iron,ore.mix.iron,466,29,172,/tp 466 29 172,473,447,485,153,191,38,38,-1,yes
iron,ore.mix.iron,-355,12,309,/tp -355 12 309,474,-381,-329,299,320,52,21,-1,yes
sulfur,ore.mix.sulfur,63,5,-454,/tp 63 5 -454,474,44,82,-473,-434,38,39,-1,yes
manganese,ore.mix.manganese,219,23,-413,/tp 219 23 -413,475,205,234,-428,-397,29,31,-1,yes
manganese,ore.mix.manganese,-171,20,454,/tp -171 20 454,476,-186,-156,434,475,30,41,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-74,114,-449,/tp -74 114 -449,476,-84,-64,-465,-432,20,33,-1,yes
manganese,ore.mix.manganese,-310,21,364,/tp -310 21 364,477,-325,-295,347,381,30,34,-1,yes
copper,ore.mix.copper,-454,30,76,/tp -454 30 76,477,-473,-434,61,91,39,30,-1,yes
sulfur,ore.mix.sulfur,-360,7,-274,/tp -360 7 -274,478,-388,-331,-294,-254,57,40,-1,yes
netherquartz,ore.mix.netherquartz,22,73,496,/tp 22 73 496,478,10,35,481,512,25,31,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-417,107,217,/tp -417 107 217,479,-439,-394,204,230,45,26,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-23,35,-459,/tp -23 35 -459,479,-38,-7,-478,-440,31,38,-1,yes
copper,ore.mix.copper,31,24,-462,/tp 31 24 -462,480,10,52,-485,-439,42,46,-1,yes
copper,ore.mix.copper,-401,17,-218,/tp -401 17 -218,482,-420,-382,-238,-198,38,40,-1,yes
sulfur,ore.mix.sulfur,360,14,361,/tp 360 14 361,484,348,373,344,378,25,34,-1,yes
netherquartz,ore.mix.netherquartz,503,61,20,/tp 503 61 20,484,479,527,-2,42,48,44,-1,yes
sulfur,ore.mix.sulfur,501,13,-21,/tp 501 13 -21,484,476,526,-41,-1,50,40,-1,yes
copper,ore.mix.copper,365,17,-321,/tp 365 17 -321,484,352,379,-343,-299,27,44,-1,yes
netherquartz,ore.mix.netherquartz,-463,73,-30,/tp -463 73 -30,484,-479,-446,-46,-14,33,32,-1,yes
copper,ore.mix.copper,79,25,500,/tp 79 25 500,486,60,99,473,527,39,54,-1,yes
tetrahedrite,ore.mix.tetrahedrite,414,98,-266,/tp 414 98 -266,486,399,429,-295,-236,30,59,-1,yes
iron,ore.mix.iron,213,31,466,/tp 213 31 466,488,203,224,448,484,21,36,-1,yes
beryllium,ore.mix.beryllium,504,6,74,/tp 504 6 74,488,487,521,61,88,34,27,-1,yes
iron,ore.mix.iron,-458,20,121,/tp -458 20 121,488,-482,-433,102,141,49,39,-1,yes
tetrahedrite,ore.mix.tetrahedrite,309,108,410,/tp 309 108 410,488,288,330,382,439,42,57,-1,yes
redstone,ore.mix.redstone,-23,15,505,/tp -23 15 505,489,-34,-11,492,518,23,26,-1,yes
sulfur,ore.mix.sulfur,446,6,-222,/tp 446 6 -222,490,427,466,-245,-198,39,47,-1,yes
manganese,ore.mix.manganese,-121,21,-452,/tp -121 21 -452,490,-143,-98,-464,-439,45,25,-1,yes
redstone,ore.mix.redstone,-271,13,414,/tp -271 13 414,491,-295,-246,393,436,49,43,-1,yes
copper,ore.mix.copper,113,53,-464,/tp 113 53 -464,491,91,135,-486,-442,44,44,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-221,104,-411,/tp -221 104 -411,492,-237,-204,-422,-400,33,22,-1,yes
redstone,ore.mix.redstone,-464,22,-75,/tp -464 22 -75,492,-483,-444,-98,-51,39,47,-1,yes
quartz,ore.mix.quartz,500,97,121,/tp 500 97 121,492,488,513,110,133,25,23,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-449,89,176,/tp -449 89 176,494,-471,-426,158,194,45,36,-1,yes
copper,ore.mix.copper,121,39,501,/tp 121 39 501,494,99,143,485,517,44,32,-1,yes
beryllium,ore.mix.beryllium,-457,17,-118,/tp -457 17 -118,495,-478,-436,-131,-104,42,27,-1,yes
beryllium,ore.mix.beryllium,-212,20,457,/tp -212 20 457,496,-224,-200,440,475,24,35,-1,yes
copper,ore.mix.copper,263,9,-414,/tp 263 9 -414,496,250,277,-438,-389,27,49,-1,yes
tetrahedrite,ore.mix.tetrahedrite,415,101,318,/tp 415 101 318,497,399,431,294,342,32,48,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,166,36,-457,/tp 166 36 -457,497,145,188,-475,-439,43,36,-1,yes
manganese,ore.mix.manganese,510,20,-78,/tp 510 20 -78,500,493,527,-93,-62,34,31,-1,yes
copper,ore.mix.copper,-68,43,513,/tp -68 43 513,503,-91,-44,494,533,47,39,-1,yes
sulfur,ore.mix.sulfur,363,5,-351,/tp 363 5 -351,504,340,386,-368,-334,46,34,-1,yes
copper,ore.mix.copper,-418,8,271,/tp -418 8 271,505,-439,-396,253,290,43,37,-1,yes
sulfur,ore.mix.sulfur,-370,5,-304,/tp -370 5 -304,505,-387,-352,-326,-282,35,44,-1,yes
manganese,ore.mix.manganese,503,21,163,/tp 503 21 163,505,492,515,147,180,23,33,-1,yes
beryllium,ore.mix.beryllium,268,10,459,/tp 268 10 459,506,256,280,448,470,24,22,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-132,108,503,/tp -132 108 503,508,-151,-112,481,526,39,45,-1,yes
manganese,ore.mix.manganese,462,24,267,/tp 462 24 267,508,445,479,249,286,34,37,-1,yes
manganese,ore.mix.manganese,-262,22,-408,/tp -262 22 -408,510,-272,-252,-420,-396,20,24,-1,yes
copper,ore.mix.copper,-314,8,-368,/tp -314 8 -368,510,-343,-285,-391,-344,58,47,-1,yes
redstone,ore.mix.redstone,509,19,-124,/tp 509 19 -124,510,491,527,-147,-100,36,47,-1,yes
tetrahedrite,ore.mix.tetrahedrite,406,96,-315,/tp 406 96 -315,511,377,435,-332,-297,58,35,-1,yes
iron,ore.mix.iron,171,19,506,/tp 171 19 506,511,152,190,485,528,38,43,-1,yes
copper,ore.mix.copper,-454,48,-176,/tp -454 48 -176,511,-470,-437,-197,-154,33,43,-1,yes
sulfur,ore.mix.sulfur,-361,7,363,/tp -361 7 363,513,-378,-344,349,378,34,29,-1,yes
sulfur,ore.mix.sulfur,-409,6,-264,/tp -409 6 -264,513,-437,-380,-287,-240,57,47,-1,yes
iron,ore.mix.iron,398,34,366,/tp 398 34 366,515,381,416,347,386,35,39,-1,yes
sulfur,ore.mix.sulfur,-458,8,212,/tp -458 8 212,515,-472,-443,196,228,29,32,-1,yes
quartz,ore.mix.quartz,-315,100,410,/tp -315 100 410,515,-327,-302,395,425,25,30,-1,yes
sulfur,ore.mix.sulfur,-170,13,-462,/tp -170 13 -462,516,-181,-159,-484,-440,22,44,-1,yes
iron,ore.mix.iron,70,20,-497,/tp 70 20 -497,518,47,94,-519,-475,47,44,-1,yes
copper,ore.mix.copper,-262,18,453,/tp -262 18 453,518,-276,-247,439,468,29,29,-1,yes
redstone,ore.mix.redstone,313,23,-409,/tp 313 23 -409,518,290,337,-423,-394,47,29,-1,yes
manganese,ore.mix.manganese,-170,20,502,/tp -170 20 502,520,-188,-151,489,516,37,27,-1,yes
sulfur,ore.mix.sulfur,459,8,-260,/tp 459 8 -260,520,436,482,-279,-241,46,38,-1,yes
iron,ore.mix.iron,222,23,-462,/tp 222 23 -462,521,198,247,-480,-443,49,37,-1,yes
beryllium,ore.mix.beryllium,-411,24,313,/tp -411 24 313,521,-427,-394,297,330,33,33,-1,yes
sulfur,ore.mix.sulfur,509,7,-161,/tp 509 7 -161,522,495,524,-180,-141,29,39,-1,yes
iron,ore.mix.iron,-211,27,-451,/tp -211 27 -451,522,-226,-195,-477,-425,31,52,-1,yes
sulfur,ore.mix.sulfur,-450,8,-214,/tp -450 8 -214,523,-465,-435,-232,-196,30,36,-1,yes
sulfur,ore.mix.sulfur,-501,6,75,/tp -501 6 75,523,-522,-480,52,99,42,47,-1,yes
copper,ore.mix.copper,-505,33,25,/tp -505 33 25,524,-522,-487,6,44,35,38,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-23,100,-504,/tp -23 100 -504,524,-51,5,-523,-485,56,38,-1,yes
netherquartz,ore.mix.netherquartz,457,72,307,/tp 457 72 307,525,447,467,282,333,20,51,-1,yes
quartz,ore.mix.quartz,-505,102,-22,/tp -505 102 -22,526,-520,-489,-42,-2,31,40,-1,yes
netherquartz,ore.mix.netherquartz,316,54,454,/tp 316 54 454,528,291,342,433,476,51,43,-1,yes
netherquartz,ore.mix.netherquartz,367,74,415,/tp 367 74 415,528,349,385,395,435,36,40,-1,yes
redstone,ore.mix.redstone,18,10,-510,/tp 18 10 -510,528,3,34,-531,-488,31,43,-1,yes
iron,ore.mix.iron,-353,17,-356,/tp -353 17 -356,528,-376,-329,-382,-330,47,52,-1,yes
tetrahedrite,ore.mix.tetrahedrite,265,92,-449,/tp 265 92 -449,528,238,293,-472,-425,55,47,-1,yes
sulfur,ore.mix.sulfur,-116,12,-494,/tp -116 12 -494,529,-129,-103,-513,-475,26,38,-1,yes
copper,ore.mix.copper,511,7,213,/tp 511 7 213,529,490,532,202,225,42,23,-1,yes
copper,ore.mix.copper,-503,40,-71,/tp -503 40 -71,530,-521,-485,-86,-55,36,31,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-455,102,257,/tp -455 102 257,531,-472,-437,240,275,35,35,-1,yes
sulfur,ore.mix.sulfur,-65,9,-507,/tp -65 9 -507,532,-87,-42,-522,-492,45,30,-1,yes
sulfur,ore.mix.sulfur,219,11,512,/tp 219 11 512,533,200,239,490,535,39,45,-1,yes
sulfur,ore.mix.sulfur,21,12,552,/tp 21 12 552,534,-4,47,537,568,51,31,-1,yes
netherquartz,ore.mix.netherquartz,-504,40,124,/tp -504 40 124,534,-531,-476,103,146,55,43,-1,yes
beryllium,ore.mix.beryllium,552,7,-25,/tp 552 7 -25,535,541,564,-34,-15,23,19,-1,yes
iron,ore.mix.iron,115,32,545,/tp 115 32 545,536,92,138,526,565,46,39,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-67,106,547,/tp -67 106 547,536,-80,-53,528,567,27,39,-1,yes
tetrahedrite,ore.mix.tetrahedrite,115,109,-510,/tp 115 109 -510,537,91,140,-525,-494,49,31,-1,yes
quartz,ore.mix.quartz,556,94,23,/tp 556 94 23,537,544,568,14,33,24,19,-1,yes
iron,ore.mix.iron,504,11,-212,/tp 504 11 -212,537,479,530,-231,-192,51,39,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,72,17,553,/tp 72 17 553,538,60,85,537,570,25,33,-1,yes
redstone,ore.mix.redstone,-215,22,503,/tp -215 22 503,538,-245,-185,483,523,60,40,-1,yes
netherquartz,ore.mix.netherquartz,268,69,497,/tp 268 69 497,540,246,290,479,515,44,36,-1,yes
iron,ore.mix.iron,-26,33,557,/tp -26 33 557,541,-39,-12,536,579,27,43,-1,yes
copper,ore.mix.copper,-446,35,-258,/tp -446 35 -258,541,-465,-426,-279,-237,39,42,-1,yes
quartz,ore.mix.quartz,-506,103,-118,/tp -506 103 -118,542,-522,-490,-133,-102,32,31,-1,yes
manganese,ore.mix.manganese,-502,20,166,/tp -502 20 166,542,-513,-491,155,177,22,22,-1,yes
sulfur,ore.mix.sulfur,-409,12,-315,/tp -409 12 -315,542,-428,-389,-337,-293,39,44,-1,yes
iron,ore.mix.iron,401,26,-368,/tp 401 26 -368,543,378,424,-385,-351,46,34,-1,yes
redstone,ore.mix.redstone,555,25,-68,/tp 555 25 -68,543,530,580,-80,-56,50,24,-1,yes
redstone,ore.mix.redstone,357,29,-407,/tp 357 29 -407,543,336,378,-424,-389,42,35,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,507,26,257,/tp 507 26 257,543,488,527,241,274,39,33,-1,yes
sulfur,ore.mix.sulfur,-307,7,-417,/tp -307 7 -417,544,-328,-285,-439,-394,43,45,-1,yes
iron,ore.mix.iron,544,27,-126,/tp 544 27 -126,544,524,564,-141,-111,40,30,-1,yes
netherquartz,ore.mix.netherquartz,562,62,69,/tp 562 62 69,545,543,582,54,85,39,31,-1,yes
netherquartz,ore.mix.netherquartz,448,61,363,/tp 448 61 363,551,429,468,350,376,39,26,-1,yes
iron,ore.mix.iron,-408,21,367,/tp -408 21 367,551,-418,-397,351,384,21,33,-1,yes
tetrahedrite,ore.mix.tetrahedrite,562,88,115,/tp 562 88 115,552,544,580,95,136,36,41,-1,yes
redstone,ore.mix.redstone,-498,31,215,/tp -498 31 215,553,-518,-478,189,241,40,52,-1,yes
beryllium,ore.mix.beryllium,408,14,411,/tp 408 14 411,553,393,423,398,425,30,27,-1,yes
iron,ore.mix.iron,-262,17,-458,/tp -262 17 -458,553,-289,-234,-478,-437,55,41,-1,yes
beryllium,ore.mix.beryllium,-310,24,462,/tp -310 24 462,553,-327,-293,446,479,34,33,-1,yes
netherquartz,ore.mix.netherquartz,-502,40,-168,/tp -502 40 -168,553,-518,-486,-185,-150,32,35,-1,yes
iron,ore.mix.iron,462,30,-315,/tp 462 30 -315,554,443,482,-343,-287,39,56,-1,yes
iron,ore.mix.iron,363,30,452,/tp 363 30 452,554,337,389,440,465,52,25,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-369,100,413,/tp -369 100 413,554,-388,-350,397,430,38,33,-1,yes
iron,ore.mix.iron,552,11,170,/tp 552 11 170,554,529,576,144,196,47,52,-1,yes
tetrahedrite,ore.mix.tetrahedrite,172,85,-515,/tp 172 85 -515,555,153,192,-533,-496,39,37,-1,yes
iron,ore.mix.iron,-130,29,553,/tp -130 29 553,555,-148,-111,541,565,37,24,-1,yes
tetrahedrite,ore.mix.tetrahedrite,223,110,-500,/tp 223 110 -500,557,206,241,-525,-474,35,51,-1,yes
sulfur,ore.mix.sulfur,-158,7,547,/tp -158 7 547,558,-176,-140,530,564,36,34,-1,yes
copper,ore.mix.copper,-167,6,-511,/tp -167 6 -511,561,-178,-156,-532,-490,22,42,-1,yes
copper,ore.mix.copper,-261,50,504,/tp -261 50 504,561,-274,-247,484,524,27,40,-1,yes
tetrahedrite,ore.mix.tetrahedrite,545,83,217,/tp 545 83 217,562,524,567,198,236,43,38,-1,yes
iron,ore.mix.iron,208,24,547,/tp 208 24 547,562,188,228,532,563,40,31,-1,yes
sulfur,ore.mix.sulfur,167,8,561,/tp 167 8 561,563,148,186,542,580,38,38,-1,yes
netherquartz,ore.mix.netherquartz,321,69,-457,/tp 321 69 -457,563,301,342,-476,-438,41,38,-1,yes
netherquartz,ore.mix.netherquartz,504,49,-269,/tp 504 49 -269,564,479,530,-286,-252,51,34,-1,yes
copper,ore.mix.copper,26,15,-546,/tp 26 15 -546,564,1,52,-563,-528,51,35,-1,yes
redstone,ore.mix.redstone,-460,14,315,/tp -460 14 315,564,-481,-439,290,341,42,51,-1,yes
iron,ore.mix.iron,-407,17,-353,/tp -407 17 -353,565,-434,-379,-372,-334,55,38,-1,yes
iron,ore.mix.iron,-361,11,-405,/tp -361 11 -405,569,-386,-335,-430,-380,51,50,-1,yes
sulfur,ore.mix.sulfur,556,14,-170,/tp 556 14 -170,569,531,582,-193,-146,51,47,-1,yes
tetrahedrite,ore.mix.tetrahedrite,65,105,-550,/tp 65 105 -550,570,41,89,-570,-530,48,40,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,450,24,-357,/tp 450 24 -357,571,433,468,-370,-344,35,26,-1,yes
quartz,ore.mix.quartz,-216,108,-503,/tp -216 108 -503,572,-233,-198,-518,-488,35,30,-1,yes
quartz,ore.mix.quartz,312,84,510,/tp 312 84 510,573,296,329,496,525,33,29,-1,yes
netherquartz,ore.mix.netherquartz,260,40,-503,/tp 260 40 -503,574,236,284,-532,-473,48,59,-1,yes
redstone,ore.mix.redstone,509,24,317,/tp 509 24 317,574,492,527,299,335,35,36,-1,yes
netherquartz,ore.mix.netherquartz,-555,47,20,/tp -555 47 20,574,-569,-541,3,38,28,35,-1,yes
iron,ore.mix.iron,-72,34,-549,/tp -72 34 -549,574,-84,-59,-569,-529,25,40,-1,yes
sulfur,ore.mix.sulfur,-408,5,403,/tp -408 5 403,575,-427,-388,378,428,39,50,-1,yes
sulfur,ore.mix.sulfur,595,13,27,/tp 595 13 27,576,571,620,16,38,49,22,-1,yes
quartz,ore.mix.quartz,-554,113,72,/tp -554 113 72,576,-575,-532,62,82,43,20,-1,yes
beryllium,ore.mix.beryllium,-310,15,-456,/tp -310 15 -456,577,-329,-291,-466,-446,38,20,-1,yes
sulfur,ore.mix.sulfur,594,13,68,/tp 594 13 68,577,578,610,55,81,32,26,-1,yes
copper,ore.mix.copper,-509,49,-219,/tp -509 49 -219,579,-530,-488,-243,-194,42,49,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-27,110,-559,/tp -27 110 -559,579,-42,-12,-575,-542,30,33,-1,yes
redstone,ore.mix.redstone,-558,7,-25,/tp -558 7 -25,579,-579,-536,-54,4,43,58,-1,yes
quartz,ore.mix.quartz,-553,113,119,/tp -553 113 119,581,-573,-532,108,130,41,22,-1,yes
iron,ore.mix.iron,-461,29,-310,/tp -461 29 -310,581,-483,-438,-331,-289,45,42,-1,yes
tetrahedrite,ore.mix.tetrahedrite,503,93,-306,/tp 503 93 -306,582,474,533,-325,-287,59,38,-1,yes
iron,ore.mix.iron,-556,23,-70,/tp -556 23 -70,582,-568,-544,-88,-51,24,37,-1,yes
iron,ore.mix.iron,-364,32,456,/tp -364 32 456,582,-378,-349,445,467,29,22,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-510,82,260,/tp -510 82 260,582,-534,-485,247,274,49,27,-1,yes
copper,ore.mix.copper,551,47,-217,/tp 551 47 -217,582,535,568,-232,-201,33,31,-1,yes
beryllium,ore.mix.beryllium,600,11,-27,/tp 600 11 -27,583,590,610,-44,-9,20,35,-1,yes
sulfur,ore.mix.sulfur,-24,10,599,/tp -24 10 599,583,-46,-1,590,608,45,18,-1,yes
netherquartz,ore.mix.netherquartz,24,60,602,/tp 24 60 602,584,13,35,585,620,22,35,-1,yes
manganese,ore.mix.manganese,73,22,600,/tp 73 22 600,584,62,85,578,623,23,45,-1,yes
sulfur,ore.mix.sulfur,124,14,-556,/tp 124 14 -556,584,112,136,-572,-540,24,32,-1,yes
beryllium,ore.mix.beryllium,267,17,547,/tp 267 17 547,584,253,282,533,562,29,29,-1,yes
sulfur,ore.mix.sulfur,357,14,494,/tp 357 14 494,584,344,370,476,512,26,36,-1,yes
sulfur,ore.mix.sulfur,-547,13,165,/tp -547 13 165,585,-567,-526,141,189,41,48,-1,yes
tetrahedrite,ore.mix.tetrahedrite,450,94,413,/tp 450 94 413,585,435,465,392,434,30,42,-1,yes
sulfur,ore.mix.sulfur,417,13,-411,/tp 417 13 -411,585,396,439,-424,-398,43,26,-1,yes
iron,ore.mix.iron,-219,15,554,/tp -219 15 554,586,-231,-206,543,566,25,23,-1,yes
copper,ore.mix.copper,-458,43,358,/tp -458 43 358,586,-473,-442,338,379,31,41,-1,yes
copper,ore.mix.copper,362,5,-460,/tp 362 5 -460,588,350,374,-485,-435,24,50,-1,yes
netherquartz,ore.mix.netherquartz,602,49,-69,/tp 602 49 -69,589,589,616,-83,-54,27,29,-1,yes
copper,ore.mix.copper,593,13,-119,/tp 593 13 -119,590,576,611,-144,-93,35,51,-1,yes
beryllium,ore.mix.beryllium,502,12,359,/tp 502 12 359,591,484,520,347,372,36,25,-1,yes
redstone,ore.mix.redstone,-555,26,-122,/tp -555 26 -122,591,-583,-526,-131,-112,57,19,-1,yes
iron,ore.mix.iron,-502,34,-262,/tp -502 34 -262,591,-524,-479,-272,-252,45,20,-1,yes
copper,ore.mix.copper,-166,7,-543,/tp -166 7 -543,591,-191,-141,-564,-522,50,42,-1,yes
netherquartz,ore.mix.netherquartz,412,48,461,/tp 412 48 461,592,388,437,445,478,49,33,-1,yes
copper,ore.mix.copper,602,20,118,/tp 602 20 118,592,579,626,89,148,47,59,-1,yes
sulfur,ore.mix.sulfur,-314,13,507,/tp -314 13 507,592,-328,-300,481,534,28,53,-1,yes
quartz,ore.mix.quartz,168,113,-556,/tp 168 113 -556,593,147,190,-573,-538,43,35,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-70,99,604,/tp -70 99 604,593,-84,-56,580,628,28,48,-1,yes
sulfur,ore.mix.sulfur,-117,10,-559,/tp -117 10 -559,593,-142,-91,-577,-540,51,37,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-547,101,-160,/tp -547 101 -160,593,-564,-530,-179,-141,34,38,-1,yes
manganese,ore.mix.manganese,-260,20,-508,/tp -260 20 -508,595,-277,-242,-524,-492,35,32,-1,yes
redstone,ore.mix.redstone,562,8,261,/tp 562 8 261,595,544,581,245,278,37,33,-1,yes
manganese,ore.mix.manganese,-499,24,313,/tp -499 24 313,596,-514,-483,296,331,31,35,-1,yes
tetrahedrite,ore.mix.tetrahedrite,122,86,605,/tp 122 86 605,596,103,142,584,626,39,42,-1,yes
sulfur,ore.mix.sulfur,598,5,174,/tp 598 5 174,600,573,624,158,191,51,33,-1,yes
beryllium,ore.mix.beryllium,309,23,-508,/tp 309 23 -508,601,298,321,-525,-490,23,35,-1,yes
iron,ore.mix.iron,-551,31,210,/tp -551 31 210,601,-580,-521,188,233,59,45,-1,yes
sulfur,ore.mix.sulfur,-408,7,-408,/tp -408 7 -408,603,-421,-394,-426,-390,27,36,-1,yes
iron,ore.mix.iron,-262,18,551,/tp -262 18 551,603,-278,-245,528,575,33,47,-1,yes
beryllium,ore.mix.beryllium,551,5,305,/tp 551 5 305,604,540,562,289,322,22,33,-1,yes
copper,ore.mix.copper,-121,14,606,/tp -121 14 606,604,-140,-102,592,621,38,29,-1,yes
redstone,ore.mix.redstone,-360,28,-454,/tp -360 28 -454,605,-385,-335,-481,-426,50,55,-1,yes
iron,ore.mix.iron,597,17,-160,/tp 597 17 -160,605,587,608,-176,-143,21,33,-1,yes
redstone,ore.mix.redstone,304,5,552,/tp 304 5 552,605,282,327,523,581,45,58,-1,yes
iron,ore.mix.iron,557,21,-263,/tp 557 21 -263,607,532,583,-280,-245,51,35,-1,yes
redstone,ore.mix.redstone,594,28,216,/tp 594 28 216,608,569,619,206,226,50,20,-1,yes
iron,ore.mix.iron,-157,32,600,/tp -157 32 600,608,-177,-137,570,630,40,60,-1,yes
copper,ore.mix.copper,176,21,605,/tp 176 21 605,608,160,192,592,619,32,27,-1,yes
